CASE_NUMBER,STATUS,APPLICATION_SUBMITTED_DATE,COMPLETED_DATE,CANCELLATION_DATE,BROKER_ID,BROKER_FIRM_ID,LOAN_AMOUNT,PROPERTY_CATEGORY
1138,COMPLETED,2021-03-31 11:01:48.000000000,2021-06-18 22:59:00.000000000,,97074843-0854-4e71-895b-ea76a14bfc77,ec0952bff6e76d4488dc6f0001b05681d5fb12c0e6ab96693ce2ca0300d10c10,131594.000000,STANDARD
1141,COMPLETED,2021-04-06 13:39:05.000000000,2021-06-29 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,224102.630000,STANDARD
1148,CANCELLED,2021-04-01 12:04:56.000000000,,2021-07-20 13:20:34.000000000,0ee539fe-1ccc-4c00-8bd6-8aff71f4ae5a,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,159401.630000,HMO
1149,COMPLETED,2021-04-01 15:56:15.000000000,2021-09-24 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,186528.240000,STANDARD
1157,COMPLETED,2021-04-01 16:44:06.000000000,2021-10-15 22:59:00.000000000,,00ca468e-3630-4fe6-b0fd-86f6d27e3b40,cc533ea8aa51b56615878636de8f4570820d879ddc7abae0ff7a35a15ef7a30d,109999.380000,STANDARD
1159,COMPLETED,2021-04-06 11:41:52.000000000,2021-09-30 22:59:00.000000000,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,174640.500000,STANDARD
1161,CANCELLED,2021-04-09 12:12:11.000000000,,2021-12-09 16:13:27.000000000,78a1b80a-aed0-42e7-a726-12753b285f1f,44d61c6a50be709b498d22ff0fa0dd7e7e35cea4f84fce5688b2688c6f19d056,176439.000000,STANDARD
1185,COMPLETED,2021-04-07 10:16:04.000000000,2021-09-14 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,243188.000000,STANDARD
1187,COMPLETED,2021-04-07 10:38:24.000000000,2021-09-21 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,255437.500000,STANDARD
1188,COMPLETED,2021-04-07 10:45:47.000000000,2021-09-09 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,205990.000000,STANDARD
1189,COMPLETED,2021-04-07 10:51:50.000000000,2021-09-13 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,183913.750000,STANDARD
1190,COMPLETED,2021-04-07 10:58:45.000000000,2021-09-22 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,183913.750000,STANDARD
1191,COMPLETED,2021-04-07 11:06:15.000000000,2021-09-14 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,181041.500000,STANDARD
1192,COMPLETED,2021-04-07 11:13:13.000000000,2021-09-21 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,168792.000000,STANDARD
1193,COMPLETED,2021-04-07 11:18:56.000000000,2021-09-22 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,190314.750000,STANDARD
1196,COMPLETED,2021-04-07 15:08:01.000000000,2021-06-07 22:59:00.000000000,,65fe6f3e-f2e4-434e-80d2-1fc5be92c9e3,617f19e1a831532f31da8b95e36001b41629e536de3e825ae540689c05ef99d5,205990.000000,STANDARD
1198,COMPLETED,2021-04-07 14:57:57.000000000,2021-06-07 22:59:00.000000000,,65fe6f3e-f2e4-434e-80d2-1fc5be92c9e3,617f19e1a831532f31da8b95e36001b41629e536de3e825ae540689c05ef99d5,167511.000000,STANDARD
1206,CANCELLED,2021-05-06 17:00:35.000000000,,2021-12-20 13:12:50.000000000,8131954a-be66-4c22-8183-e51b4a1004f0,ea04190556b04a6b3f18f490c15dce3db8695fac637bb100820dcbd00d65314c,302220.000000,STANDARD
1207,IN_PROGRESS,2021-05-06 16:56:53.000000000,,,8131954a-be66-4c22-8183-e51b4a1004f0,ea04190556b04a6b3f18f490c15dce3db8695fac637bb100820dcbd00d65314c,235506.000000,STANDARD
1208,COMPLETED,2021-04-08 15:03:19.000000000,2021-09-24 22:59:00.000000000,,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,244064.000000,STANDARD
1210,COMPLETED,2021-04-08 15:04:07.000000000,2021-08-25 22:59:00.000000000,,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,101524.500000,STANDARD
1223,COMPLETED,2021-04-09 08:38:57.000000000,2021-08-12 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,238631.000000,MUFB
1228,CANCELLED,2021-04-09 12:20:08.000000000,,2021-12-09 16:13:28.000000000,78a1b80a-aed0-42e7-a726-12753b285f1f,44d61c6a50be709b498d22ff0fa0dd7e7e35cea4f84fce5688b2688c6f19d056,128356.000000,STANDARD
1232,COMPLETED,2021-04-09 15:54:04.000000000,2021-07-20 22:59:00.000000000,,f27df3d9-3ed2-437f-baca-9aa75d0b814c,9e6d407c3b3fd264d6997e939b0aa05490235d6151eea866dec6d1e3f93a7618,131594.000000,STANDARD
1233,CANCELLED,2021-04-12 08:20:40.000000000,,2021-11-15 10:34:23.000000000,00ca468e-3630-4fe6-b0fd-86f6d27e3b40,cc533ea8aa51b56615878636de8f4570820d879ddc7abae0ff7a35a15ef7a30d,120856.000000,STANDARD
1234,COMPLETED,2021-04-30 12:33:30.000000000,2021-09-30 22:59:00.000000000,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,215032.200000,HMO
1238,COMPLETED,2021-04-28 10:30:14.000000000,2021-08-13 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,245195.500000,STANDARD
1239,COMPLETED,2021-06-11 15:13:50.000000000,2021-11-26 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,176001.750000,STANDARD
1241,CANCELLED,2021-04-12 18:14:28.000000000,,2021-08-25 12:57:41.000000000,6fb967b9-3f2e-4ae7-9251-5a1ea8e671be,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,211838.500000,STANDARD
1245,COMPLETED,2021-04-12 14:36:21.000000000,2021-07-13 22:59:00.000000000,,8898e1cd-d55c-4a58-b429-1f23ece4cbb5,72af36bef0a8a95254b0327c2de277193a39e876c3259d484571c0222d04f899,317774.000000,HMO
1246,COMPLETED,2021-04-12 14:42:03.000000000,2021-09-06 22:59:00.000000000,,8898e1cd-d55c-4a58-b429-1f23ece4cbb5,72af36bef0a8a95254b0327c2de277193a39e876c3259d484571c0222d04f899,283871.000000,HMO
1252,IN_PROGRESS,2021-04-13 10:48:36.000000000,,,6d6ccc39-930d-4d9c-9ee8-b11d445571b3,01168d889e8fa660046aedb26d94d8f83e0730a079b0351341a2bba063d1c181,128285.500000,STANDARD
1254,CANCELLED,2021-04-12 23:04:00.000000000,,2021-08-25 12:57:41.000000000,6fb967b9-3f2e-4ae7-9251-5a1ea8e671be,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,243188.000000,STANDARD
1259,COMPLETED,2021-04-17 13:47:25.000000000,2021-11-01 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,174640.500000,STANDARD
1261,CANCELLED,2021-04-13 12:56:39.000000000,,2021-10-27 13:41:07.000000000,d0f112ca-863c-4446-b748-941291335deb,03cac00b48d53fdd63a4e338890611c710d5ed09b05afe458af9fcf1d119c777,177514.840000,STANDARD
1262,COMPLETED,2021-04-14 11:19:33.000000000,2021-06-03 22:59:00.000000000,,0e96c2c9-dedb-4ee8-915b-7a22a9524a53,6b1aff4115a71b0938989207e2aef0c025900516fbc31e48927bda555d27bbda,672056.000000,MUFB
1264,COMPLETED,2021-04-14 12:52:18.000000000,2021-11-12 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,391233.000000,HMO
1266,IN_PROGRESS,2021-05-07 09:08:30.000000000,,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,106416.750000,STANDARD
1274,COMPLETED,2021-04-19 13:27:37.000000000,2021-10-20 22:59:00.000000000,,4507a377-3fdd-4214-a085-3429c0591258,31f7b7a2313ff75870e756b74f34d1de2eb0e3848adc939819b9663f02dac1b6,169547.000000,STANDARD
1283,CANCELLED,2021-04-14 15:50:50.000000000,,2021-10-08 15:33:34.000000000,0e96c2c9-dedb-4ee8-915b-7a22a9524a53,6b1aff4115a71b0938989207e2aef0c025900516fbc31e48927bda555d27bbda,595963.000000,STANDARD
1285,CANCELLED,2021-04-15 08:36:43.000000000,,2021-10-15 11:32:39.000000000,d0136f69-4397-4b24-bfa7-6ed40323431d,3cc79facf052fc0d39e2a63597ffc5789a5ef8e657ed34ff344e806d032c1f6f,143843.500000,STANDARD
1289,CANCELLED,2021-04-14 16:05:56.000000000,,2021-12-09 16:22:31.000000000,0e96c2c9-dedb-4ee8-915b-7a22a9524a53,6b1aff4115a71b0938989207e2aef0c025900516fbc31e48927bda555d27bbda,481804.880000,STANDARD
1293,CANCELLED,2021-04-23 13:57:35.000000000,,,b1a7d9e0-6d3b-4f31-80b3-da8884b9aa87,1221bf801f26715febdf7117bc38b502a0601b18af90289a33104b570ca5b9a9,190740.000000,STANDARD
1294,COMPLETED,2021-04-16 13:35:53.000000000,2021-10-29 22:59:00.000000000,,00ca468e-3630-4fe6-b0fd-86f6d27e3b40,cc533ea8aa51b56615878636de8f4570820d879ddc7abae0ff7a35a15ef7a30d,150245.500000,STANDARD
1303,COMPLETED,2021-04-15 18:20:17.000000000,2021-06-23 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,531645.000000,HMO
1305,CANCELLED,2021-04-15 23:04:12.000000000,,2021-06-24 11:45:14.000000000,d0f112ca-863c-4446-b748-941291335deb,03cac00b48d53fdd63a4e338890611c710d5ed09b05afe458af9fcf1d119c777,456444.250000,STANDARD
1307,CANCELLED,2021-04-16 05:31:08.000000000,,2021-10-08 15:35:28.000000000,b4ca9b6e-ba5c-4193-9300-b432f4ef0852,67f3d8bbf4ff21dc2eefb33c680967e6f304edbbb234481af58d377ce9743183,713406.500000,STANDARD
1311,COMPLETED,2021-04-22 09:36:31.000000000,2021-09-24 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,160865.750000,STANDARD
1313,COMPLETED,2021-04-16 14:04:28.000000000,2021-06-30 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,360226.500000,STANDARD
1314,COMPLETED,2021-04-16 14:10:32.000000000,2021-07-09 22:59:00.000000000,,29138dc0-bafe-479e-8206-fc9b2eaeee61,6702c41cb46280436bd51ba27456f70b961a95f62fde55f89ec971a5e604e00f,159401.630000,STANDARD
1317,CANCELLED,2021-04-19 08:20:06.000000000,,2021-06-24 11:29:56.000000000,4035d61f-38ac-4a19-a89b-65b22372e685,4a861d8de464339838914b91e0b393b5147b41873b10d0afb3323e0a99ee092a,412667.280000,STANDARD
1321,COMPLETED,2021-04-19 10:09:31.000000000,2021-07-26 22:59:00.000000000,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,280386.000000,STANDARD
1323,COMPLETED,2021-04-19 11:49:29.000000000,2021-08-12 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,147268.250000,STANDARD
1325,COMPLETED,2021-04-30 10:06:37.000000000,2021-09-24 22:59:00.000000000,,fed16c76-e89d-4e25-81a3-a2e4a54228b3,e56bfe59d595d8903d0ab04fa76da03af9bf9e9375f3d599715c324e0ecdf231,134701.000000,STANDARD
1327,COMPLETED,2021-04-19 12:11:01.000000000,2021-07-16 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,215262.250000,STANDARD
1329,COMPLETED,2021-04-20 11:48:36.000000000,2021-10-11 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,134983.000000,STANDARD
1330,COMPLETED,2021-04-20 11:53:50.000000000,2021-10-11 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,101339.300000,STANDARD
1331,COMPLETED,2021-04-20 11:58:54.000000000,2021-09-14 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,112380.000000,STANDARD
1332,COMPLETED,2021-04-20 13:18:27.000000000,2021-09-14 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,121854.630000,STANDARD
1333,COMPLETED,2021-04-20 13:24:14.000000000,2021-10-08 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,105963.700000,STANDARD
1334,COMPLETED,2021-04-20 13:29:31.000000000,2021-10-29 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,103764.500000,STANDARD
1335,COMPLETED,2021-04-20 13:34:10.000000000,2021-10-08 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,112380.000000,STANDARD
1336,COMPLETED,2021-04-20 13:39:08.000000000,2021-10-08 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,115614.750000,STANDARD
1337,IN_PROGRESS,2021-04-20 13:43:17.000000000,,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,109171.000000,STANDARD
1338,COMPLETED,2021-04-20 13:49:28.000000000,2021-10-08 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,93510.000000,STANDARD
1340,COMPLETED,2021-04-20 13:54:57.000000000,2021-10-08 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,95376.000000,STANDARD
1341,COMPLETED,2021-04-29 11:14:00.000000000,2021-08-27 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,227512.750000,STANDARD
1343,IN_PROGRESS,2021-04-22 16:07:54.000000000,,,4035d61f-38ac-4a19-a89b-65b22372e685,4a861d8de464339838914b91e0b393b5147b41873b10d0afb3323e0a99ee092a,252460.250000,STANDARD
1353,COMPLETED,2021-04-28 11:29:33.000000000,2021-11-08 22:59:00.000000000,,fded6a9b-549c-4f47-a820-118001368786,4a31e715c18691a62bb1022c7fab48bea79ba37d7023249ef22db47617565937,115191.250000,STANDARD
1355,COMPLETED,2021-04-27 10:04:03.000000000,2021-07-14 22:59:00.000000000,,d92f490c-5353-4064-9942-cee649e6395d,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,272802.250000,HMO
1356,CANCELLED,2021-04-22 14:01:09.000000000,,2021-05-14 13:22:25.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,183014.000000,STANDARD
1357,COMPLETED,2021-04-23 12:05:49.000000000,2021-10-11 22:59:00.000000000,,d0c52215-cbff-4f0d-9c9c-9df42bb1e592,d9391f3e8d41e115cada4809a2b5e5c3703a4a4e2b94c27fbdbc1c62bc660c1f,109555.000000,STANDARD
1359,COMPLETED,2021-04-26 10:40:39.000000000,2021-08-02 22:59:00.000000000,,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,221111.750000,STANDARD
1360,CANCELLED,2021-04-26 10:50:24.000000000,,2021-07-22 11:56:45.000000000,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,279602.380000,HMO
1365,CANCELLED,2021-04-21 14:42:50.000000000,,2021-10-08 15:36:29.000000000,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,283257.250000,STANDARD
1366,CANCELLED,2021-04-20 17:46:30.000000000,,2022-01-11 15:28:54.000000000,bea3302e-eda9-4384-955d-b8b9f55c8d7f,ace56af711686fa56cdf644fab87b1c7c7ca6f4d087266c52aa7f5443f20c1d5,440625.500000,STANDARD
1368,COMPLETED,2021-06-10 11:08:34.000000000,2022-01-10 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,206575.000000,STANDARD
1373,COMPLETED,2021-04-23 15:42:56.000000000,2021-11-08 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,582906.630000,HMO
1378,COMPLETED,2021-05-06 17:44:19.000000000,2021-11-30 22:59:00.000000000,,f3d79a7a-4628-435a-934c-75161d391a43,fdcb9dcf19b712e596c53824c65821c26d0cc02754dcbf40001bf0afb528eeac,134701.000000,STANDARD
1380,CANCELLED,2021-04-21 12:15:32.000000000,,2021-11-29 16:41:35.000000000,f89a1f26-580d-4351-bdca-13d8593ed547,aabde1d7babc7eba7d1ea45b15f01ed084a2c8dfd38cfcf29cbe0ed6d7517937,224521.000000,STANDARD
1381,COMPLETED,2021-05-06 17:49:03.000000000,2021-11-30 22:59:00.000000000,,f3d79a7a-4628-435a-934c-75161d391a43,fdcb9dcf19b712e596c53824c65821c26d0cc02754dcbf40001bf0afb528eeac,97701.500000,STANDARD
1382,COMPLETED,2021-04-21 14:42:49.000000000,2021-08-20 22:59:00.000000000,,f89a1f26-580d-4351-bdca-13d8593ed547,aabde1d7babc7eba7d1ea45b15f01ed084a2c8dfd38cfcf29cbe0ed6d7517937,160219.000000,STANDARD
1383,CANCELLED,2021-05-06 17:57:42.000000000,,2022-02-09 18:06:21.000000000,f3d79a7a-4628-435a-934c-75161d391a43,fdcb9dcf19b712e596c53824c65821c26d0cc02754dcbf40001bf0afb528eeac,159401.630000,STANDARD
1392,IN_PROGRESS,2021-04-22 14:00:13.000000000,,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,174223.250000,STANDARD
1393,CANCELLED,2021-04-22 13:59:25.000000000,,2021-05-17 12:08:38.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,153801.000000,STANDARD
1394,CANCELLED,2021-04-22 13:58:22.000000000,,2021-05-14 13:26:24.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,163236.000000,STANDARD
1396,CANCELLED,2021-04-22 13:57:42.000000000,,2021-05-14 13:28:24.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,143459.000000,STANDARD
1397,CANCELLED,2021-04-22 13:56:59.000000000,,2021-05-14 13:30:32.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,139643.400000,STANDARD
1398,CANCELLED,2021-04-22 13:55:20.000000000,,2021-05-14 13:25:27.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,123682.000000,STANDARD
1399,CANCELLED,2021-04-22 13:54:39.000000000,,2021-05-14 11:29:13.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,118031.000000,STANDARD
1400,CANCELLED,2021-04-22 13:53:56.000000000,,2021-05-14 11:10:55.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,118031.000000,STANDARD
1402,CANCELLED,2021-04-22 13:52:58.000000000,,2021-05-14 10:23:16.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,118031.000000,STANDARD
1403,CANCELLED,2021-04-22 13:52:18.000000000,,2021-05-17 12:40:09.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,106730.000000,STANDARD
1404,CANCELLED,2021-04-22 13:50:19.000000000,,2021-10-12 15:19:21.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,201884.000000,STANDARD
1405,COMPLETED,2021-04-22 11:42:05.000000000,2021-10-08 22:59:00.000000000,,54560769-20b2-4585-ac2f-2d046ae2eacf,06ec5035557395356d5bb658a7577c7c0608bd5b180b017d780df7b29b8d10b0,105100.380000,STANDARD
1407,IN_PROGRESS,2021-04-22 13:48:53.000000000,,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,279602.380000,STANDARD
1408,COMPLETED,2021-04-22 13:47:33.000000000,2021-10-26 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,196716.750000,STANDARD
1410,CANCELLED,2021-04-22 13:46:56.000000000,,2021-05-17 10:46:43.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,143459.000000,STANDARD
1412,CANCELLED,2021-04-22 13:46:10.000000000,,2021-10-12 15:20:29.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,150245.500000,STANDARD
1413,CANCELLED,2021-04-22 13:45:30.000000000,,2021-11-01 10:48:38.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,175479.000000,STANDARD
1415,COMPLETED,2021-04-22 13:44:52.000000000,2021-10-26 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,174640.500000,STANDARD
1416,COMPLETED,2021-04-22 13:43:40.000000000,2021-11-22 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,174640.500000,STANDARD
1417,CANCELLED,2021-04-23 10:58:22.000000000,,2021-11-29 13:37:06.000000000,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,266919.000000,STANDARD
1418,COMPLETED,2021-04-22 13:42:57.000000000,2021-10-26 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,190548.000000,STANDARD
1419,COMPLETED,2021-04-22 13:42:17.000000000,2021-12-10 22:59:00.000000000,,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,171101.750000,STANDARD
1421,CANCELLED,2021-04-23 10:10:57.000000000,,2021-04-29 10:58:48.000000000,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,317774.000000,HMO
1422,CANCELLED,2021-04-22 13:41:38.000000000,,2021-05-17 12:50:06.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,230902.750000,STANDARD
1423,CANCELLED,2021-04-22 13:40:02.000000000,,2021-07-20 10:27:42.000000000,5b14a1ad-d770-4861-b143-9b62c20d7356,7a1ae7d62b4fdc88fd08f4412693218a50b378df597115b13c56f8faaa12c857,205616.000000,STANDARD
1429,CANCELLED,2021-04-22 21:45:00.000000000,,2021-06-24 10:30:12.000000000,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,537295.000000,MUFB
1430,CANCELLED,2021-04-26 12:45:17.000000000,,2021-11-16 11:54:46.000000000,9335c545-a45e-4813-910f-704ba9a3b8bf,f8b0c4288d79f568362881143eb05a48610f7fb2ea1b1902936ab96bc73167c3,183014.000000,HMO
1447,IN_PROGRESS,2021-04-26 10:35:38.000000000,,,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,555020.460000,STANDARD
